Leistung,temperature_2m_templin,cloud_cover_templin,shortwave_radiation_templin,diffuse_radiation_templin,direct_normal_irradiance_templin,temperature_2m_kastellaun,cloud_cover_kastellaun,shortwave_radiation_kastellaun,diffuse_radiation_kastellaun,direct_normal_irradiance_kastellaun,temperature_2m_guetersloh,cloud_cover_guetersloh,shortwave_radiation_guetersloh,diffuse_radiation_guetersloh,direct_normal_irradiance_guetersloh,temperature_2m_ingolstadt,cloud_cover_ingolstadt,shortwave_radiation_ingolstadt,diffuse_radiation_ingolstadt,direct_normal_irradiance_ingolstadt,temperature_2m_erfurt,cloud_cover_erfurt,shortwave_radiation_erfurt,diffuse_radiation_erfurt,direct_normal_irradiance_erfurt,temperature_2m_neumunster,cloud_cover_neumunster,shortwave_radiation_neumunster,diffuse_radiation_neumunster,direct_normal_irradiance_neumunster
2023-01-01 00:00:00+00:00,0.0,14.5,100.0,0.0,0.0,0.0,12.1985,3.9,0.0,0.0,0.0,16.5235,80.40001,0.0,0.0,0.0,6.948,32.4,0.0,0.0,0.0,15.064,31.500002,0.0,0.0,0.0,12.962999,100.0,0.0,0.0,0.0
2023-01-01 01:00:00+00:00,0.0,15.05,100.0,0.0,0.0,0.0,11.5485,0.0,0.0,0.0,0.0,16.823502,63.000004,0.0,0.0,0.0,7.748,30.000002,0.0,0.0,0.0,14.564,30.000002,0.0,0.0,0.0,13.863,100.0,0.0,0.0,0.0
2023-01-01 02:00:00+00:00,0.0,15.65,100.0,0.0,0.0,0.0,11.2985,20.7,0.0,0.0,0.0,16.6735,85.8,0.0,0.0,0.0,8.248,30.000002,0.0,0.0,0.0,13.9140005,19.5,0.0,0.0,0.0,14.013,100.0,0.0,0.0,0.0
2023-01-01 03:00:00+00:00,0.0,15.6,100.0,0.0,0.0,0.0,11.3985,30.000002,0.0,0.0,0.0,15.8735,90.00001,0.0,0.0,0.0,8.198,31.500002,0.0,0.0,0.0,13.614,0.0,0.0,0.0,0.0,13.313,100.0,0.0,0.0,0.0
2023-01-01 04:00:00+00:00,0.0,16.1,75.3,0.0,0.0,0.0,11.4985,28.2,0.0,0.0,0.0,14.9235,100.0,0.0,0.0,0.0,8.098,32.100002,0.0,0.0,0.0,13.364,11.1,0.0,0.0,0.0,12.613,100.0,0.0,0.0,0.0
2023-01-01 05:00:00+00:00,0.0,15.85,90.90001,0.0,0.0,0.0,11.3985,21.0,0.0,0.0,0.0,14.5234995,100.0,0.0,0.0,0.0,7.248,50.100002,0.0,0.0,0.0,13.214001,29.400002,0.0,0.0,0.0,12.113,100.0,0.0,0.0,0.0
2023-01-01 06:00:00+00:00,0.4,15.25,56.100002,0.0,0.0,0.0,11.0485,100.0,0.0,0.0,0.0,14.0735,100.0,0.0,0.0,0.0,7.348,28.5,0.0,0.0,0.0,13.114,30.000002,0.0,0.0,0.0,11.763,100.0,0.0,0.0,0.0
2023-01-01 07:00:00+00:00,2499.2,14.55,79.200005,0.0,0.0,0.0,11.3485,100.0,0.0,0.0,0.0,14.0234995,100.0,0.0,0.0,0.0,7.298,33.0,0.0,0.0,0.0,12.814,29.400002,0.0,0.0,0.0,11.912999,100.0,0.0,0.0,0.0
2023-01-01 08:00:00+00:00,16368.9,14.65,90.90001,4.0,4.0,0.0,11.4485,69.0,3.0,3.0,0.0,13.8735,89.40001,1.0,1.0,0.0,8.948,61.800003,19.0,11.0,92.01177,12.864,60.3,9.0,8.0,13.9479685,12.113,86.4,0.0,0.0,0.0
2023-01-01 09:00:00+00:00,31014.8,14.75,93.600006,27.0,23.0,34.70468,11.4485,100.0,59.0,41.0,150.76479,13.2235,100.0,10.0,9.0,9.163661,10.948,23.7,96.0,50.0,293.9448,13.264,47.4,74.0,45.0,232.24545,11.662999,75.3,33.0,28.0,51.325233
2023-01-01 10:00:00+00:00,40740.2,14.65,77.4,89.0,83.0,32.052956,11.8985,68.4,106.0,74.0,155.8326,13.1235,89.100006,28.0,28.0,0.0,12.698,26.400002,202.0,57.0,589.9744,14.014,100.0,153.0,58.0,452.63522,11.662999,65.4,94.0,53.0,261.06595
2023-01-01 11:00:00+00:00,42720.700000000004,14.65,90.600006,111.0,82.0,125.96782,12.0985,82.8,151.0,92.0,221.36835,13.4235,98.1,84.0,81.0,12.528255,14.448,24.0,268.0,54.0,717.3828,14.1640005,97.8,65.0,64.0,3.8343496,11.863,39.0,141.0,62.0,381.37738
2023-01-01 12:00:00+00:00,37363.5,14.75,33.9,40.0,40.0,0.0,12.5985,63.9,166.0,124.0,145.26035,13.8735,73.8,146.0,107.0,150.80254,15.248,30.300003,281.0,56.0,724.6033,14.314,95.100006,140.0,100.0,146.37288,12.013,14.1,161.0,70.0,410.6943
2023-01-01 13:00:00+00:00,24116.5,14.5,50.100002,114.0,90.0,117.091095,12.6485,92.700005,170.0,93.0,283.4579,13.5234995,54.600002,138.0,90.0,200.65582,15.398,4.5,246.0,57.0,671.2429,14.064,100.0,76.0,67.0,36.51762,11.863,34.5,160.0,47.0,566.80536
